method,baseline,measure,n,diff,ci_lo,ci_hi,n_discordant,p_raw,p_holm,sig_05
nemotron-8b+bm25,bm25,recall@5,500,0.06583333333333333,0.043,0.09,53,2.7050073671211237e-07,3.2460088405453484e-06,True
nemotron-1b,bm25,recall@5,500,0.05750000000000001,0.028833333333333336,0.087,75,0.0001879064802920776,0.0016911583226286984,True
nemotron-8b,bm25,recall@5,500,0.05616666666666667,0.026,0.0865,82,0.0005214275654372999,0.0041714205234983995,True
nemotron-1b+bm25,bm25,recall@5,500,0.05383333333333334,0.03183333333333333,0.07767083333333329,49,1.934011769473608e-05,0.00021274129464209687,True
qwen3-emb-4b+bm25,bm25,recall@5,500,0.0515,0.027333333333333334,0.07566666666666666,53,4.712716604631531e-05,0.00047127166046315313,True
qwen3-emb-8b+bm25,bm25,recall@5,500,0.04383333333333333,0.01983333333333333,0.06833749999999995,53,0.0007916199339110996,0.004749719603466597,True
bge-m3-hf+bm25,bm25,recall@5,500,0.03783333333333333,0.016333333333333335,0.0605,43,0.0005391961082682247,0.0041714205234983995,True
bge-m3+bm25,bm25,recall@5,500,0.035833333333333335,0.014495833333333338,0.058166666666666665,42,0.00086293230705387,0.004749719603466597,True
qwen3-emb-8b,bm25,recall@5,500,0.02366666666666667,-0.009341666666666661,0.05633333333333334,90,0.11566525831777602,0.23133051663555204,False
qwen3-emb-4b,bm25,recall@5,500,0.0185,-0.013,0.05016666666666666,85,0.1908547279361823,0.23133051663555204,False
bge-m3,bm25,recall@5,500,-0.05416666666666667,-0.08916666666666666,-0.0195,107,0.006010174640293299,0.023049205067579986,True
bge-m3-hf,bm25,recall@5,500,-0.0545,-0.08916666666666666,-0.019666666666666666,107,0.005762301266894997,0.023049205067579986,True
