measure,method_a,method_b,n,diff,ci_lo,ci_hi,n_discordant,p_raw,p_holm,m_family,sig_05
recall@1,dense,bm25,500,-0.053566666666666665,-0.09456833333333332,-0.011833333333333335,146,0.037670742523297614,0.07534148504659523,3,False
recall@1,dense,hybrid,500,-0.07533333333333334,-0.10966666666666666,-0.0415,92,0.00012250265484838304,0.00036750796454514914,3,True
recall@1,bm25,hybrid,500,-0.02176666666666667,-0.053,0.008666666666666666,76,0.12428678582479649,0.12428678582479649,3,False
recall@3,dense,bm25,500,-0.06306666666666666,-0.09973333333333334,-0.026733333333333335,119,0.0021406924959798453,0.004281384991959691,3,True
recall@3,dense,hybrid,500,-0.08673333333333332,-0.1154,-0.058333333333333334,78,4.3784597570726464e-08,1.3135379271217939e-07,3,True
recall@3,bm25,hybrid,500,-0.02366666666666667,-0.05149999999999999,0.004,70,0.08887290335469447,0.08887290335469447,3,False
recall@5,dense,bm25,500,-0.05416666666666666,-0.08866666666666667,-0.020666666666666663,107,0.006010174640293299,0.012020349280586599,3,True
recall@5,dense,hybrid,500,-0.07783333333333332,-0.10733333333333334,-0.04966250000000006,75,1.1135054575948812e-06,3.3405163727846436e-06,3,True
recall@5,bm25,hybrid,500,-0.02366666666666667,-0.047,-0.00033333333333333484,54,0.037493557584543515,0.037493557584543515,3,True
rr@5,dense,bm25,500,-0.072,-0.10833416666666665,-0.035830833333333374,219,0.00015736423347678655,0.0003147284669535731,3,True
rr@5,dense,hybrid,500,-0.09523333333333334,-0.12136916666666668,-0.06826666666666667,168,7.312292560385372e-11,2.1936877681156115e-10,3,True
rr@5,bm25,hybrid,500,-0.023233333333333335,-0.048069166666666656,0.0010008333333333217,147,0.06912923235510945,0.06912923235510945,3,False
