track,mode,generator,arm,n_queries,total_tokens,quality,on_frontier,frontier_status,n_scored_arms,n_unscored_arms
obliqa,open,llama3.1:8b,a3,10000,242837980.0,0.2757111597374179,False,dominated,9,0
obliqa,open,llama3.1:8b,a4,10000,10075906.0,0.5053763440860215,True,on_frontier,9,0
obliqa,open,llama3.1:8b,a5,10000,11217986.0,0.5401301518438177,True,on_frontier,9,0
obliqa,open,llama3.1:8b,a7,10000,21964045.0,0.4148471615720524,False,dominated,9,0
obliqa,open,llama3.1:8b,a8,10000,11824686.0,0.4651685393258427,False,dominated,9,0
obliqa,open,llama3.1:8b,a8c,10000,37560126.0,0.4433962264150943,False,dominated,9,0
obliqa,open,llama3.1:8b,a1,100000,22031000.0,0.16,True,on_frontier,9,0
obliqa,open,llama3.1:8b,a2,100000,107945000.0,0.2004264392324093,False,dominated,9,0
obliqa,open,llama3.1:8b,a2o,100000,32973000.0,0.1375,False,dominated,9,0
obliqa,open,llama3.1:8b,a3,100000,2428379800.0,0.2757111597374179,False,dominated,9,0
obliqa,open,llama3.1:8b,a4,100000,90223786.0,0.5053763440860215,True,on_frontier,9,0
obliqa,open,llama3.1:8b,a5,100000,101644586.0,0.5401301518438177,True,on_frontier,9,0
obliqa,open,llama3.1:8b,a7,100000,185608885.0,0.4148471615720524,False,dominated,9,0
obliqa,open,llama3.1:8b,a8,100000,107711586.00000001,0.4651685393258427,False,dominated,9,0
obliqa,open,llama3.1:8b,a8c,100000,365065986.0,0.4433962264150943,False,dominated,9,0
obliqa,open,qwen3:8b,a1,100,20283.600000000002,0.3047210300429184,True,on_frontier,11,0
obliqa,open,qwen3:8b,a2,100,109101.6,0.3259911894273127,False,dominated,11,0
obliqa,open,qwen3:8b,a2o,100,34420.4,0.3369565217391304,True,on_frontier,11,0
obliqa,open,qwen3:8b,a3,100,2437771.9999999995,0.3870967741935484,False,dominated,11,0
obliqa,open,qwen3:8b,a4,100,1259832.8,0.580168776371308,True,on_frontier,11,0
obliqa,open,qwen3:8b,a5,100,1270932.0,0.5970772442588727,True,on_frontier,11,0
obliqa,open,qwen3:8b,a7,100,7806984.4,0.5689277899343544,False,dominated,11,0
obliqa,open,qwen3:8b,a7s1,100,7908405.2,0.5468409586056645,False,dominated,11,0
obliqa,open,qwen3:8b,a7s2,100,7908583.4,0.5711111111111111,False,dominated,11,0
obliqa,open,qwen3:8b,a8,100,1275055.8,0.4890829694323144,False,dominated,11,0
obliqa,open,qwen3:8b,a8c,100,1519821.6,0.5816554809843401,False,dominated,11,0
obliqa,open,qwen3:8b,a1,1000,202836.0,0.3047210300429184,True,on_frontier,11,0
obliqa,open,qwen3:8b,a2,1000,1091016.0,0.3259911894273127,False,dominated,11,0
obliqa,open,qwen3:8b,a2o,1000,344204.0,0.3369565217391304,True,on_frontier,11,0
obliqa,open,qwen3:8b,a3,1000,24377719.999999996,0.3870967741935484,False,dominated,11,0
obliqa,open,qwen3:8b,a4,1000,2063054.0,0.580168776371308,True,on_frontier,11,0
obliqa,open,qwen3:8b,a5,1000,2174046.0,0.5970772442588727,True,on_frontier,11,0
obliqa,open,qwen3:8b,a7,1000,10463914.0,0.5689277899343544,False,dominated,11,0
obliqa,open,qwen3:8b,a7s1,1000,11478122.0,0.5468409586056645,False,dominated,11,0
obliqa,open,qwen3:8b,a7s2,1000,11479904.0,0.5711111111111111,False,dominated,11,0
obliqa,open,qwen3:8b,a8,1000,2215284.0,0.4890829694323144,False,dominated,11,0
obliqa,open,qwen3:8b,a8c,1000,4662942.0,0.5816554809843401,False,dominated,11,0
obliqa,open,qwen3:8b,a1,10000,2028360.0000000002,0.3047210300429184,True,on_frontier,11,0
obliqa,open,qwen3:8b,a2,10000,10910160.0,0.3259911894273127,False,dominated,11,0
obliqa,open,qwen3:8b,a2o,10000,3442040.0,0.3369565217391304,True,on_frontier,11,0
obliqa,open,qwen3:8b,a3,10000,243777199.99999997,0.3870967741935484,False,dominated,11,0
obliqa,open,qwen3:8b,a4,10000,10095266.0,0.580168776371308,True,on_frontier,11,0
obliqa,open,qwen3:8b,a5,10000,11205186.0,0.5970772442588727,True,on_frontier,11,0
obliqa,open,qwen3:8b,a7,10000,37033210.0,0.5689277899343544,False,dominated,11,0
obliqa,open,qwen3:8b,a7s1,10000,47175290.0,0.5468409586056645,False,dominated,11,0
obliqa,open,qwen3:8b,a7s2,10000,47193110.0,0.5711111111111111,False,dominated,11,0
obliqa,open,qwen3:8b,a8,10000,11617565.999999998,0.4890829694323144,False,dominated,11,0
obliqa,open,qwen3:8b,a8c,10000,36094146.0,0.5816554809843401,False,dominated,11,0
obliqa,open,qwen3:8b,a1,100000,20283600.0,0.3047210300429184,True,on_frontier,11,0
obliqa,open,qwen3:8b,a2,100000,109101600.00000001,0.3259911894273127,False,dominated,11,0
obliqa,open,qwen3:8b,a2o,100000,34420400.0,0.3369565217391304,True,on_frontier,11,0
obliqa,open,qwen3:8b,a3,100000,2437771999.9999995,0.3870967741935484,False,dominated,11,0
obliqa,open,qwen3:8b,a4,100000,90417386.0,0.580168776371308,True,on_frontier,11,0
obliqa,open,qwen3:8b,a5,100000,101516585.99999999,0.5970772442588727,True,on_frontier,11,0
obliqa,open,qwen3:8b,a7,100000,302726170.0,0.5689277899343544,False,dominated,11,0
obliqa,open,qwen3:8b,a7s1,100000,404146970.0,0.5468409586056645,False,dominated,11,0
obliqa,open,qwen3:8b,a7s2,100000,404325170.0,0.5711111111111111,False,dominated,11,0
obliqa,open,qwen3:8b,a8,100000,105640385.99999999,0.4890829694323144,False,dominated,11,0
obliqa,open,qwen3:8b,a8c,100000,350406186.0,0.5816554809843401,False,dominated,11,0
