judge,n,pct_correct,pct_missing,pct_incorrect,len_corr_r,len_corr_p,unparsed
gemma3:12b,10000,0.4665,0.2822,0.2513,-0.10515252563537553,5.462187306444833e-26,0
gpt-oss:20b,9716,0.41436805269658294,0.21644709757101688,0.34942363112391933,-0.12876395476587077,3.380559164627281e-37,192
phi4:14b,10000,0.3313,0.4267,0.242,-0.08199229457043446,2.1747338786970597e-16,0
