track,mode,generator,arm_a,arm_b,setup_diff,per_query_diff,breakeven_queries,meaningful
obliqa,open,qwen3:8b,a3,a4,-1170586.0,-23485.251999999997,49.84345068982015,True
obliqa,open,qwen3:8b,a3,a5,-1170586.0,-23374.26,50.08013087900965,True
obliqa,open,qwen3:8b,a3,a7,-7511770.0,-21425.575999999997,350.59827563095627,True
obliqa,open,qwen3:8b,a3,a7s1,-7511770.0,-20411.368,368.01893924993175,True
obliqa,open,qwen3:8b,a3,a7s2,-7511770.0,-20409.585999999996,368.05107168758843,True
obliqa,open,qwen3:8b,a3,a8,-1170586.0,-23333.021999999997,50.16864082157897,True
obliqa,open,qwen3:8b,a3,a8c,-1170586.0,-20885.363999999998,56.048149316430404,True
obliqa,open,qwen3:8b,a4,a5,0.0,110.99199999999996,0.0,False
obliqa,open,qwen3:8b,a4,a7,-6341184.0,2059.676,-3078.7288874560854,False
obliqa,open,qwen3:8b,a4,a7s1,-6341184.0,3073.884,-2062.9223484035183,False
obliqa,open,qwen3:8b,a4,a7s2,-6341184.0,3075.666,-2061.72711861431,False
obliqa,open,qwen3:8b,a4,a8,0.0,152.2299999999999,0.0,False
obliqa,open,qwen3:8b,a4,a8c,0.0,2599.888,0.0,False
obliqa,open,qwen3:8b,a5,a7,-6341184.0,1948.6839999999997,-3254.0853211705958,False
obliqa,open,qwen3:8b,a5,a7s1,-6341184.0,2962.892,-2140.2008578105447,False
obliqa,open,qwen3:8b,a5,a7s2,-6341184.0,2964.674,-2138.914430389311,False
obliqa,open,qwen3:8b,a5,a8,0.0,41.23799999999994,0.0,False
obliqa,open,qwen3:8b,a5,a8c,0.0,2488.8959999999997,0.0,False
obliqa,open,qwen3:8b,a7,a7s1,0.0,1014.2080000000001,0.0,False
obliqa,open,qwen3:8b,a7,a7s2,0.0,1015.9900000000002,0.0,False
obliqa,open,qwen3:8b,a7,a8,6341184.0,-1907.446,-3324.436969644226,False
obliqa,open,qwen3:8b,a7,a8c,6341184.0,540.212,11738.324953906986,True
obliqa,open,qwen3:8b,a7s1,a7s2,0.0,1.7820000000001528,0.0,False
obliqa,open,qwen3:8b,a7s1,a8,6341184.0,-2921.654,-2170.4089532846806,False
obliqa,open,qwen3:8b,a7s1,a8c,6341184.0,-473.9960000000001,-13378.138212136808,False
obliqa,open,qwen3:8b,a7s2,a8,6341184.0,-2923.436,-2169.0859659660755,False
obliqa,open,qwen3:8b,a7s2,a8c,6341184.0,-475.77800000000025,-13328.031140573958,False
obliqa,open,qwen3:8b,a8,a8c,0.0,2447.658,0.0,False
