grader,n,raw_correct,weighted_correct,raw_missing,weighted_missing,raw_incorrect,weighted_incorrect,weighted_correct_lo,weighted_correct_hi
ema,94,0.2872340425531915,0.26829477520845524,0.11702127659574468,0.10475791957942122,0.5957446808510638,0.6269473052121235,0.1788631834723035,0.3568842418367853
marko,93,0.34408602150537637,0.31369580474383507,0.10752688172043011,0.10400337832778762,0.5483870967741935,0.5823008169283772,0.22155515264870282,0.41002956036814187
PANEL,87,0.5517241379310345,0.519546809859405,0.21839080459770116,0.21680831305319476,0.22988505747126436,0.26364487708740014,0.41255911719808874,0.6265345025207213
gemma3:12b,96,0.5625,0.5383094903859712,0.2604166666666667,0.2741802324815451,0.17708333333333334,0.18751027713248367,0.43664529023110066,0.6449991778294013
gpt-oss:20b,92,0.5543478260869565,0.532208105516566,0.20652173913043478,0.19772650767096459,0.2391304347826087,0.2700653868124694,0.4259387240900931,0.6384774869430391
phi4:14b,96,0.4166666666666667,0.33992436030492035,0.3333333333333333,0.3733727975220705,0.25,0.28670284217300906,0.2607515273587635,0.41909719325107725
