base_run,phase,calls,prompt_tokens,completion_tokens,wall_s
bench_obliqa_open_a4_llama3.1_8b,bench,30,24017,3274.0,251.7752194404602
bench_obliqa_open_a4_llama3.1_8b,query,30,1212,0.0,182.1934289932251
bench_obliqa_open_a4_qwen3_8b,bench,30,24560,2950.0,240.8118360042572
bench_obliqa_open_a4_qwen3_8b,query,30,1212,0.0,182.4623568058014
bench_obliqa_open_a5_llama3.1_8b,bench,30,25047,3543.0,245.4614713191986
bench_obliqa_open_a5_llama3.1_8b,query,30,1212,0.0,172.9264919757843
bench_obliqa_open_a5_qwen3_8b,bench,30,25618,2730.0,232.21867609024048
bench_obliqa_open_a5_qwen3_8b,query,30,1212,0.0,173.2521367073059
dspy,query,2,36,0.0,18.629329204559326
dspy,setup,20,728,0.0,24.26132559776306
dspy_compile_obliqa_llama3.1_8b_seed0,setup,1640,2430761,179938.0,629.7212274074554
dspy_compile_obliqa_qwen3_8b_seed0,setup,1640,2509712,139862.0,635.8605122566223
dspy_compile_obliqa_qwen3_8b_seed1,setup,1640,1830769,141950.0,644.8035342693329
dspy_compile_obliqa_qwen3_8b_seed2,setup,1640,1558159,160732.0,642.5576457977295
dspy_metric,setup,21,4794,0.0,140.6535029411316
eval_retr,eval,1000,40042,0.0,533.0316650867462
extract_iso27k_open_a1_llama3.1_8b,query,213,54537,1537.0,206.22437453269958
extract_iso27k_open_a1_qwen3_8b,query,213,53168,1522.0,197.44869828224182
extract_iso27k_open_a2_llama3.1_8b,query,213,40041,1521.0,187.69012331962585
extract_iso27k_open_a2_qwen3_8b,query,213,44594,1520.0,188.2997603416443
extract_iso27k_open_a2o_llama3.1_8b,query,213,45996,1535.0,250.89912009239197
extract_iso27k_open_a2o_qwen3_8b,query,213,50089,1519.0,192.2598888874054
extract_iso27k_open_a3_llama3.1_8b,query,213,64686,1563.0,203.53188967704773
extract_iso27k_open_a3_qwen3_8b,query,213,57477,1529.0,196.6314024925232
extract_iso27k_open_a4_llama3.1_8b,query,213,60684,1547.0,199.0173900127411
extract_iso27k_open_a4_qwen3_8b,query,213,51380,1535.0,193.82639861106873
extract_iso27k_open_a5_llama3.1_8b,query,213,59500,1559.0,199.4992778301239
extract_iso27k_open_a5_qwen3_8b,query,213,51094,1541.0,192.93760538101196
extract_iso27k_open_a6_llama3.1_8b,query,214,131707,2780.0,326.015260219574
extract_iso27k_open_a6_qwen3_8b,query,213,115345,2188.0,248.47756385803223
extract_iso27k_open_a6g_llama3.1_8b,query,215,133182,2555.0,267.5937216281891
extract_iso27k_open_a6g_qwen3_8b,query,213,114831,2452.0,254.76814651489258
extract_iso27k_open_a6l_llama3.1_8b,query,215,128964,2316.0,261.7423241138458
extract_iso27k_open_a6l_qwen3_8b,query,213,115930,2232.0,249.97717189788818
extract_iso27k_open_a7_llama3.1_8b,query,213,46928,1544.0,195.92576670646667
extract_iso27k_open_a7_qwen3_8b,query,213,53861,1542.0,194.6078176498413
extract_iso27k_open_atest_qwen3_8b,query,4,1014,28.0,129.27428770065308
index_iso27k,setup,15,281368,0.0,0.0
index_obliqa,setup,209,1170586,0.0,0.0
iso27k_mcq_a1_llama3.1_8b,query,214,24335,431.0,343.0953760147095
iso27k_mcq_a1_qwen3_8b,query,214,26847,436.0,137.95964646339417
iso27k_mcq_a2_llama3.1_8b,query,214,106083,432.0,1057.460084438324
iso27k_mcq_a2_qwen3_8b,query,214,111805,444.0,144.40404725074768
iso27k_mcq_a2o_llama3.1_8b,query,213,38895,430.0,190.18357276916504
iso27k_mcq_a2o_qwen3_8b,query,213,42034,430.0,167.71529865264893
iso27k_mcq_a3_llama3.1_8b,query,213,4838263,447.0,1995.2202141284943
iso27k_mcq_a3_qwen3_8b,query,226,5246787,453.0,2502.812160015106
iso27k_mcq_a4_llama3.1_8b,query,428,359189,430.0,5114.930737733841
iso27k_mcq_a4_qwen3_8b,query,428,385874,428.0,763.3289139270782
iso27k_mcq_a5_llama3.1_8b,query,426,367325,427.0,4258.651323080063
iso27k_mcq_a5_qwen3_8b,query,429,389348,428.0,455.1745550632477
iso27k_open_a1_llama3.1_8b,query,213,16162,19589.0,1346.9275028705597
iso27k_open_a1_qwen3_8b,query,213,17880,19073.0,1224.5947096347809
iso27k_open_a2_llama3.1_8b,query,213,65365,5597.0,504.97230672836304
iso27k_open_a2_qwen3_8b,query,213,69639,10507.0,751.8865933418274
iso27k_open_a2o_llama3.1_8b,query,213,23617,11122.0,582.4357357025146
iso27k_open_a2o_qwen3_8b,query,213,25974,16023.0,774.8281815052032
iso27k_open_a3_llama3.1_8b,query,213,4830653,29327.0,2548.5022547245026
iso27k_open_a3_qwen3_8b,query,213,4952149,23344.0,2583.6640799045563
iso27k_open_a4_llama3.1_8b,query,426,348634,24941.0,6235.68820142746
iso27k_open_a4_qwen3_8b,query,426,373899,17302.0,5612.624343395233
iso27k_open_a5_llama3.1_8b,query,426,359711,24057.0,6140.157052993774
iso27k_open_a5_qwen3_8b,query,426,378499,17025.0,6500.80745100975
iso27k_open_a7_llama3.1_8b,query,426,497290,53129.0,123.10827136039734
iso27k_open_a7_qwen3_8b,query,426,773964,50392.0,123.10485911369324
judge_iso27k_open_a1_llama3.1_8b,query,666,203213,101816.0,6180.044002056122
judge_iso27k_open_a1_qwen3_8b,query,658,196221,92035.0,4498.007692098618
judge_iso27k_open_a2_llama3.1_8b,query,658,156532,90512.0,4105.192716121674
judge_iso27k_open_a2_qwen3_8b,query,659,170340,92033.0,4227.670073270798
judge_iso27k_open_a2o_llama3.1_8b,query,642,168225,98816.0,6978.643450975418
judge_iso27k_open_a2o_qwen3_8b,query,639,179412,96162.0,6421.035787820816
judge_iso27k_open_a3_llama3.1_8b,query,655,230014,91760.0,4534.1793258190155
judge_iso27k_open_a3_qwen3_8b,query,651,207613,88402.0,4855.012216806412
judge_iso27k_open_a4_llama3.1_8b,query,663,219843,100874.0,5744.844693660736
judge_iso27k_open_a4_qwen3_8b,query,655,189733,93139.0,5117.52899813652
judge_iso27k_open_a5_llama3.1_8b,query,663,216842,100905.0,4821.720461606979
judge_iso27k_open_a5_qwen3_8b,query,658,190338,94034.0,4409.006868839264
judge_iso27k_open_a6_llama3.1_8b,query,640,419937,101128.0,6631.107911348343
judge_iso27k_open_a6_qwen3_8b,query,662,380863,99763.0,5521.341126918793
judge_iso27k_open_a6g_llama3.1_8b,query,641,422932,103367.0,5641.970668077469
judge_iso27k_open_a6g_qwen3_8b,query,639,365986,98317.0,5344.046417951584
judge_iso27k_open_a6l_llama3.1_8b,query,640,408983,101611.0,5584.312522172928
judge_iso27k_open_a6l_qwen3_8b,query,641,371012,104107.0,5514.115200281143
judge_iso27k_open_a7_llama3.1_8b,query,640,170797,94402.0,4682.039293050766
judge_iso27k_open_a7_qwen3_8b,query,639,190803,96325.0,4534.4245228767395
judge_iso27k_open_atest_qwen3_8b,query,4,1148,342.0,72.16503119468689
judge_obliqa_open_a1_llama3.1_8b,query,1529,755276,365777.0,16960.73929333687
judge_obliqa_open_a1_qwen3_8b,query,1536,722307,397876.0,20874.48334813118
judge_obliqa_open_a2_llama3.1_8b,query,1527,749683,369013.0,20714.204561710358
judge_obliqa_open_a2_qwen3_8b,query,1542,764531,398185.0,17676.0773601532
judge_obliqa_open_a2o_llama3.1_8b,query,1519,692235,332768.0,22138.397357225418
judge_obliqa_open_a2o_qwen3_8b,query,1545,716391,399885.0,25117.948356866837
judge_obliqa_open_a3_llama3.1_8b,query,1530,871471,368852.0,17332.52319741249
judge_obliqa_open_a3_qwen3_8b,query,1536,744417,371474.0,16614.154331207275
judge_obliqa_open_a4_llama3.1_8b,query,1530,721699,368769.0,17563.07368206978
judge_obliqa_open_a4_qwen3_8b,query,1537,696894,385084.0,16937.20083642006
judge_obliqa_open_a5_llama3.1_8b,query,1537,734155,381573.0,17031.36048078537
judge_obliqa_open_a5_qwen3_8b,query,1538,701879,386308.0,16874.197836875916
judge_obliqa_open_a7_llama3.1_8b,query,1500,664193,350910.0,15864.859369277954
judge_obliqa_open_a7_qwen3_8b,query,1500,692028,350500.0,15619.1853723526
judge_obliqa_open_a7s1_qwen3_8b,query,1500,688606,353222.0,15722.208669662476
judge_obliqa_open_a7s2_qwen3_8b,query,1500,728894,360958.0,16179.256000041962
judge_obliqa_open_a8_llama3.1_8b,query,1500,700149,382055.0,23504.97179031372
judge_obliqa_open_a8_qwen3_8b,query,1500,632785,347432.0,21775.548100948334
judge_obliqa_open_a8c_llama3.1_8b,query,1500,742032,394365.0,20515.22327518463
judge_obliqa_open_a8c_qwen3_8b,query,1500,743364,388081.0,19711.455950260162
lightrag_build_iso27k_llama3.1_8b,setup,1279,2345208,394680.0,22963.53340435028
lightrag_build_iso27k_qwen3_8b,setup,2161,3356123,903918.0,50254.688557863235
lightrag_probe_iso27k_qwen3_8b,setup,101,134539,37186.0,2403.98428273201
lightrag_query_iso27k_llama3.1_8b,query,1922,14926876,297806.0,14890.687014579773
lightrag_query_iso27k_qwen3_8b,query,1923,15910284,260027.0,15790.340762615204
obliqa_open_a1_llama3.1_8b,query,500,44274,65881.0,2037.5845053195953
obliqa_open_a1_qwen3_8b,query,500,47357,54061.0,2881.320773124695
obliqa_open_a2_llama3.1_8b,query,500,475274,64451.0,1932.2888231277466
obliqa_open_a2_qwen3_8b,query,500,478857,66651.0,3986.655779838562
obliqa_open_a2o_llama3.1_8b,query,500,117774,47091.0,2300.9048807621
obliqa_open_a2o_qwen3_8b,query,500,121357,50745.0,2354.4926896095276
obliqa_open_a3_llama3.1_8b,query,500,12039335,102564.0,8259.323477983475
obliqa_open_a3_qwen3_8b,query,500,12128471,60389.0,7977.143666505814
obliqa_open_a4_llama3.1_8b,query,1000,411496,53791.0,8528.000858783722
obliqa_open_a4_qwen3_8b,query,1000,420176,46079.0,11629.395340681076
obliqa_open_a5_llama3.1_8b,query,1000,465715,56676.0,8766.599829435349
obliqa_open_a5_qwen3_8b,query,1000,474731,47020.0,10456.590418338776
obliqa_open_a7_llama3.1_8b,query,1000,779977,149182.0,290.50516057014465
obliqa_open_a7_qwen3_8b,query,1000,1380737,115356.0,291.224002122879
obliqa_open_a7s1_qwen3_8b,query,1000,1879237,123960.0,294.7230632305145
obliqa_open_a7s2_qwen3_8b,query,1000,1868237,135851.0,288.1730909347534
obliqa_open_a8_llama3.1_8b,query,1500,476495,65181.0,3078.1159992218018
obliqa_open_a8_qwen3_8b,query,1498,490695,40440.0,2261.076339006424
obliqa_open_a8c_llama3.1_8b,query,2000,1625387,214111.0,9689.697693824768
obliqa_open_a8c_qwen3_8b,query,1992,1594110,172089.0,8264.446970701218
probe,eval,121,6294,311.0,122.66667819023132
