judge_a,judge_b,n,raw_agreement,cohen_kappa,krippendorff_alpha_panel
gemma3:12b,gpt-oss:20b,9524,0.6499370012599748,0.46191014430961747,0.4310210393285313
gemma3:12b,phi4:14b,10000,0.6359,0.45183759439899374,0.4310210393285313
gpt-oss:20b,phi4:14b,9524,0.5953380932381352,0.40384366138374744,0.4310210393285313
