track,generator,arm_a,arm_b,n,acc_a,acc_b,diff,ci_lo,ci_hi,b,c,p_raw,panel_complete,n_undecided_a,n_undecided_b,m_prereg,p_holm_prereg,m_pooled,p_holm_pooled,p_holm,holm_family,holm_m_applied,sig_05,sig_05_pooled
obliqa,llama3.1_8b,a2o,a5,443,0.13544018058690746,0.5440180586907449,-0.4085778781038375,-0.45823927765237027,-0.3566591422121896,16,197,7.954864163402891e-41,True,20,39,36,2.863751098825041e-39,91,7.238926388696632e-39,2.863751098825041e-39,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a1,a5,442,0.167420814479638,0.5429864253393665,-0.3755656108597285,-0.42765837104072396,-0.31900452488687786,21,187,1.79983640755835e-34,True,25,39,36,6.299427426454225e-33,91,1.619852766802515e-32,6.299427426454225e-33,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2o,a4,446,0.1367713004484305,0.5044843049327354,-0.36771300448430494,-0.4192825112107624,-0.31390134529147984,20,184,2.1315723269334437e-34,True,20,35,36,7.247345911573708e-33,91,1.8970993709707648e-32,7.247345911573708e-33,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a1,a4,442,0.16515837104072398,0.5135746606334841,-0.34841628959276016,-0.4004524886877828,-0.29411764705882354,22,176,5.059203485655199e-31,True,25,35,36,1.6695371502662156e-29,91,4.452099067376575e-29,1.6695371502662156e-29,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2o,a8,431,0.14153132250580047,0.46403712296983757,-0.3225058004640371,-0.3735498839907193,-0.26914153132250584,19,158,1.8404446754230994e-28,True,20,55,36,5.889422961353918e-27,91,1.6011868676180963e-26,5.889422961353918e-27,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2,a5,432,0.2013888888888889,0.5532407407407407,-0.3518518518518518,-0.4097222222222222,-0.2939814814814814,32,184,3.9181167901550005e-27,True,31,39,36,1.21461620494805e-25,91,3.3695804395333005e-25,1.21461620494805e-25,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a1,a8,425,0.1623529411764706,0.4611764705882353,-0.2988235294117647,-0.35058823529411764,-0.24705882352941175,20,147,4.417192007039092e-25,True,25,55,36,1.3251576021117274e-23,91,3.754613205983228e-23,1.3251576021117274e-23,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2o,a8c,408,0.13480392156862744,0.44362745098039214,-0.3088235294117647,-0.36274509803921573,-0.2549019607843137,21,147,1.78061588575196e-24,True,20,76,36,5.163786068680684e-23,91,1.4957173440316464e-22,5.163786068680684e-23,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2o,a7,439,0.14123006833712984,0.4145785876993166,-0.27334851936218674,-0.3234624145785877,-0.22323462414578588,21,141,5.08282228699656e-23,True,20,42,36,1.4231902403590369e-21,91,4.1679142753371794e-21,1.4231902403590369e-21,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2,a4,437,0.19908466819221968,0.5125858123569794,-0.3135011441647597,-0.37299771167048057,-0.2540045766590389,39,176,5.584941623824427e-22,True,31,35,36,1.5079342384325952e-20,91,4.5238027152977856e-20,1.5079342384325952e-20,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a1,a8c,406,0.16502463054187191,0.4433497536945813,-0.2783251231527094,-0.3300492610837439,-0.22413793103448276,20,133,1.1396946559943534e-21,True,25,76,36,2.963206105585319e-20,91,9.117557247954828e-20,2.963206105585319e-20,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a1,a7,434,0.1543778801843318,0.42626728110599077,-0.271889400921659,-0.3248847926267281,-0.21889400921658986,26,144,5.268533413253632e-21,True,25,42,36,1.317133353313408e-19,91,4.162141396470369e-19,1.317133353313408e-19,prereg_within_track_and_generator,36,True,True
obliqa,llama3.1_8b,a2,a8,420,0.1976190476190476,0.4714285714285714,-0.27380952380952384,-0.32857142857142857,-0.21666666666666667,28,143,8.738712701597346e-20,True,31,55,36,2.097291048383363e-18,91,6.7288087802299564e-18,2.097291048383363e-18,prereg_within_track_and_generator,36,True,True
