method,n,mrr@10,recall@1,recall@3,recall@5,recall@10
dense,500,0.580331746031746,0.4481666666666667,0.5985,0.6467333333333334,0.6980666666666666
bm25,500,0.652897619047619,0.5017333333333333,0.6615666666666666,0.7009,0.7602333333333333
hybrid,500,0.6760539682539681,0.5235,0.6852333333333334,0.7245666666666666,0.7842333333333333
