generator,stratum,n,post,pre,diff,lo,hi,excludes_zero
qwen3:8b,all,455,0.38461538461538464,0.35384615384615387,0.03076923076923077,-0.015384615384615385,0.07472527472527472,False
qwen3:8b,context delivered,259,0.4362934362934363,0.4555984555984556,-0.019305019305019305,-0.07722007722007722,0.03861003861003861,False
qwen3:8b,context empty,196,0.3163265306122449,0.2193877551020408,0.09693877551020408,0.02040816326530612,0.17346938775510204,True
llama3.1:8b,all,467,0.26124197002141325,0.24839400428265523,0.01284796573875803,-0.02569593147751606,0.05139186295503212,False
llama3.1:8b,context delivered,266,0.37218045112781956,0.3383458646616541,0.03383458646616541,-0.018796992481203006,0.08646616541353383,False
llama3.1:8b,context empty,201,0.11442786069651742,0.12935323383084577,-0.014925373134328358,-0.07462686567164178,0.03980099502487562,False
