embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.1,4,pre,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.1,4,pre,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,pre,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.1,4,pre,unanswerable,recall,0.002029771765766724,0.0,0.005572139303482586,40
bge-m3,compartment,5,0.25,10,_policy,all,answerable_rate,0.21885000000000004,0.1032,0.37444999999999995,40
bge-m3,compartment,5,0.25,10,_policy,all,authorized_passages,0.23293690439594217,0.11446357208730402,0.44249538887181056,40
bge-m3,compartment,5,0.25,10,_q,answerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,_q,unanswerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,none,all,authorized,0.10529999999999999,0.029849999999999998,0.2022,40
bge-m3,compartment,5,0.25,10,none,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,none,all,leaked,3.8205499999999994,3.1307,4.3054,40
bge-m3,compartment,5,0.25,10,none,all,recall,0.6467333333333334,0.6467333333333334,0.6467333333333334,40
bge-m3,compartment,5,0.25,10,none,answerable,any_hit,0.7193254702633509,0.6157642393655371,0.8136787280701754,40
bge-m3,compartment,5,0.25,10,none,answerable,authorized,0.4271235402296174,0.25295232936078005,0.5640197568389057,40
bge-m3,compartment,5,0.25,10,none,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,none,answerable,leaked,1.4349029296565745,1.0516765873015874,1.9904342723004693,40
bge-m3,compartment,5,0.25,10,none,answerable,recall,0.6706741655909805,0.5610237923576064,0.752710389254386,40
bge-m3,compartment,5,0.25,10,none,unanswerable,any_hit,0.7067558257943106,0.6870792079207921,0.7360802469135802,40
bge-m3,compartment,5,0.25,10,none,unanswerable,authorized,0.011186288808983608,0.002331002331002331,0.019849059157980225,40
bge-m3,compartment,5,0.25,10,none,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,none,unanswerable,leaked,4.491352193927969,4.2453341142347165,4.685700521423713,40
bge-m3,compartment,5,0.25,10,none,unanswerable,recall,0.6413348625111629,0.6179787685774948,0.6726882716049383,40
bge-m3,compartment,5,0.25,10,part,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,part,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,part,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,part,all,recall,0.16038833333333335,0.07168333333333334,0.26764166666666667,40
bge-m3,compartment,5,0.25,10,part,answerable,any_hit,0.7712079406544776,0.7084688995215311,0.8572055137844611,40
bge-m3,compartment,5,0.25,10,part,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,part,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,part,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,part,answerable,recall,0.7172030790252698,0.6358931419457735,0.806030701754386,40
bge-m3,compartment,5,0.25,10,part,unanswerable,any_hit,0.014819958178178277,0.004653213166144201,0.025156244656475486,40
bge-m3,compartment,5,0.25,10,part,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,part,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,part,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,part,unanswerable,recall,0.006094790419925162,0.0014299995981030464,0.010092079614240274,40
bge-m3,compartment,5,0.25,10,post,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,post,all,context_size,1.1794499999999999,0.6946,1.8693,40
bge-m3,compartment,5,0.25,10,post,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,post,all,recall,0.14950083333333333,0.061766666666666664,0.2552291666666667,40
bge-m3,compartment,5,0.25,10,post,answerable,any_hit,0.7193254702633509,0.6157642393655371,0.8136787280701754,40
bge-m3,compartment,5,0.25,10,post,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,post,answerable,context_size,3.5650970703434255,3.0095657276995307,3.9483234126984126,40
bge-m3,compartment,5,0.25,10,post,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,post,answerable,recall,0.6706741655909805,0.5610237923576064,0.752710389254386,40
