arm,n,panel,humans,spearman_rho,spearman_p
a1,7,0.2857142857142857,0.0,0.9486832980505139,0.05131670194948612
a2,13,0.23076923076923078,0.0,0.9486832980505139,0.05131670194948612
a2o,6,0.6666666666666666,0.16666666666666666,0.9486832980505139,0.05131670194948612
a3,10,0.4,0.3,0.9486832980505139,0.05131670194948612
a4,10,0.5,0.3,0.9486832980505139,0.05131670194948612
a5,13,0.7692307692307693,0.38461538461538464,0.9486832980505139,0.05131670194948612
a7,9,0.7777777777777778,0.6666666666666666,0.9486832980505139,0.05131670194948612
a7s1,5,0.6,0.2,0.9486832980505139,0.05131670194948612
a7s2,9,0.7777777777777778,0.0,0.9486832980505139,0.05131670194948612
