track,mode,arm,generator,n,latency_mean_s,latency_median_s,latency_p95_s,prompt_eval_s,decode_s,prompt_tokens,completion_tokens
obliqa,open,a1,llama3.1:8b,30,2.5734347422917683,2.294887661933899,3.461241316795349,0.0304842,1.6450573000000002,89.03333333333333,139.46666666666667
obliqa,open,a1,qwen3:8b,30,2.0514926592508953,1.8273508548736572,2.2063989758491513,0.03471383326666667,1.1923186332666666,95.26666666666667,108.46666666666667
obliqa,open,a2,llama3.1:8b,30,2.401984977722168,2.3406848907470703,3.2108958721160885,0.03796026663333333,1.6900068333333336,951.0333333333333,142.8
obliqa,open,a2,qwen3:8b,30,2.1596249262491862,2.064295768737793,2.927477419376373,0.0411007666,1.5148725999666666,958.2666666666667,134.26666666666668
obliqa,open,a2o,llama3.1:8b,30,2.0380123694737753,1.7193717956542969,3.0771539330482467,0.03231099996666667,1.1511722333333334,236.03333333333333,99.23333333333333
obliqa,open,a2o,qwen3:8b,30,1.9744465589523315,1.7804526090621948,2.3225503683090203,0.03683009996666667,1.1820631999666666,243.26666666666668,107.33333333333333
obliqa,open,a3,llama3.1:8b,30,16.515499679247537,18.116424322128296,21.811428213119505,9.008599733333334,3.4823412666666664,24103.2,204.3
obliqa,open,a3,qwen3:8b,30,15.873937884966532,18.328296661376953,20.872651147842404,9.3662602,2.1083022333333337,24264.266666666666,123.8
obliqa,open,a4,llama3.1:8b,30,8.399240549405416,8.34494948387146,9.334630799293517,0.4194324333333333,1.2969241999999999,800.5666666666667,109.13333333333334
obliqa,open,a4,qwen3:8b,30,8.03410190741221,8.021352529525757,8.91742582321167,0.4711848333,1.0878315666333334,818.6666666666666,98.33333333333333
obliqa,open,a5,llama3.1:8b,30,8.18881487051646,8.020720601081848,9.333653056621552,0.43255383333333336,1.4267912999666668,834.9,118.1
obliqa,open,a5,qwen3:8b,30,7.748252789179484,7.717061638832092,8.329671359062194,0.48348793333333334,1.0056897,853.9333333333333,91.0
