generator,channel,n,agent_recall@5,question_recall@5,delta,lo,hi,agent_mrr,question_mrr
llama3.1_8b,dense,500,0.4684,0.6467333333333334,-0.1783333333333334,-0.2155,-0.1435,0.3684666666666667,0.573
llama3.1_8b,bm25,500,0.5584000000000001,0.7009,-0.14249999999999985,-0.18016666666666667,-0.106,0.4881666666666667,0.645
llama3.1_8b,hybrid,500,0.5829,0.7245666666666666,-0.1416666666666666,-0.17483333333333334,-0.109,0.4875333333333333,0.6682333333333333
qwen3_8b,dense,499,0.5201068804275216,0.6460253841015364,-0.1259185036740148,-0.15965263861055443,-0.09285237140948563,0.42324649298597194,0.5721442885771543
qwen3_8b,bm25,499,0.6385103540414162,0.7003006012024048,-0.061790247160988576,-0.09285237140948563,-0.03206412825651302,0.5593854375417502,0.6442885771543087
qwen3_8b,hybrid,499,0.6289913159652639,0.7240146960587842,-0.0950233800935203,-0.12492067468269875,-0.06613226452905811,0.530060120240481,0.6675684702738811
